date_collected,plot,species,sex,weight,scale_calibrated,,,,,
2013-07-16,2,dm,f,,yes,,,,,
2013-07-16,7,dm,m,33,yes,,,,,
2013-07-16,3,dm,m,,,,,,,
2013-07-16,1,dm,m,,,,,,,
2013-07-18,3,dm,m,40,yes,,,,,
2013-07-18,7,dm,m,48,yes,,,,,
2013-07-18,4,dm,f,29,yes,,,,,
2013-07-18,6,dm,f,37,yes,,,,,
2013-08-19,8,do,f,52,yes,,,,,
2013-10-17,3,do,f,33,yes,,,,,
2013-10-17,3,do,f,50,yes,,,,,
2013-12-10,9,do,f,40,yes,,,,,
2013-12-10,1,do,m,45,yes,,,,,
2013-12-11,8,do,f,41,yes,,,,,
2013-11-12,9,ds,f,117,yes,,,,,
2013-11-13,11,ds,f,126,yes,,,,,
2013-11-13,17,ds,m,132* ,no,,,,,
2013-11-13,14,ds,f,113* ,no,,,,,
2013-11-13,11,ds,f,122,yes,,,,,
2013-11-13,4,ds,f,107,yes,,,,,
2013-11-13,4,ds,f,115,yes,,,,,
2014-01-09,1,dm,m,40,yes,,,,,
2014-01-09,1,dm,f,36,yes,,,,,
2014-03-13,1,dm,f,51,yes,,,,,
2014-03-13,1,dm,f,44,yes,,,,,
2014-01-08,2,dm,m,45,yes,,,,,
2014-01-08,2,dm,m,44,yes,,,,,
2014-02-18,2,dm,m,52,yes,,,,,
1978-01-08,4,dm,f,37,yes,,,,,
1978-01-08,4,dm,m,,,,,,,
1978-01-08,4,dm,f,48,yes,,,,,
2014-03-13,1,ds,f,146,yes,,,,,
2014-01-08,2,ds,m,157,no,,,,,
1978-01-08,4,do,m,52,yes,,,,,
2014-01-08,2,na,,,,,,,,
2014-02-18,2,na,m,218,no,,,,,
2015-04-08,3,na,f,,yes,,,,,
2015-07-08,3,na,f,115,yes,,,,,
2015-07-08,3,na,m,190,yes,,,,,
2014-01-08,2,pf,f,7,yes,,,,,
2014-02-18,2,pf,f,7,yes,,,,,
2015-03-11,3,pf,m,8,yes,,,,,
2014-01-08,2,ot,,,,,,,,
2015-06-09,3,ot,f,29,yes,,,,,
2014-01-08,2,ox,,,,,,,,
1978-01-08,4,ol,m,35,yes,,,,,
2015-05-06,3,,,,,,,,,
,,,,,,,,,,